alert_id,h3_index,area_name,alert_type,severity,demand_supply_ratio,congestion_level,timestamp,notification_sent
1,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
2,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
3,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,90.40985493372185,2025-10-19 10:25:58,0
4,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
5,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
6,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,86.33738400847444,2025-10-19 10:25:58,0
7,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,97.78375372046088,2025-10-19 10:25:58,0
8,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
9,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
10,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
11,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,98.22425143701824,2025-10-19 10:25:58,0
12,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
13,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
14,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,99.27321333119612,2025-10-19 10:25:58,0
15,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
16,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
17,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
18,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
19,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,97.96285671956709,2025-10-19 10:25:58,0
20,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
21,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
22,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
23,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
24,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
25,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:58,0
26,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,93.06604556254403,2025-10-19 10:25:58,0
27,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
28,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,93.99462033639774,2025-10-19 10:25:59,0
29,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
30,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
31,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
32,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
33,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
34,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
35,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
36,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
37,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
38,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
39,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
40,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
41,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
42,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,84.32553409551316,2025-10-19 10:25:59,0
43,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
44,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
45,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
46,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,96.1169577773314,2025-10-19 10:25:59,0
47,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,88.6171130057563,2025-10-19 10:25:59,0
48,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,97.53825764778176,2025-10-19 10:25:59,0
49,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
50,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,96.60702731304004,2025-10-19 10:25:59,0
51,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
52,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
53,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
54,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
55,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
56,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
57,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
58,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,92.8314014880711,2025-10-19 10:25:59,0
59,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
60,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
61,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
62,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
63,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
64,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
65,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
66,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
67,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,83.95604905924864,2025-10-19 10:25:59,0
68,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,92.7407928263222,2025-10-19 10:25:59,0
69,89618925c9bffff,koramangala,DEMAND_SURGE,CRITICAL,3.491902157036046,100.0,2025-10-19 10:25:59,0
